,date_eod,close,hilow,volume
1873,2004-12-13,3.9,4.07,1326700
1874,2004-12-14,3.9,3.9299999999999997,992700
1875,2004-12-15,3.93,3.9450000000000003,726500
1876,2004-12-16,4.0,4.115,3337800
1877,2004-12-17,3.83,3.91,1627300
1878,2004-12-20,3.65,3.765,1809100
1879,2004-12-21,3.92,3.995,3619700
1880,2004-12-22,3.8,3.8899999999999997,1132100
1881,2004-12-23,3.85,3.875,662000
1882,2004-12-27,4.23,4.1,2449900
1883,2004-12-28,4.19,4.285,2513300
1884,2004-12-29,4.17,4.1899999999999995,822100
1885,2004-12-30,4.15,4.16,803900
1886,2004-12-31,4.07,4.125,520700
1887,2005-01-03,4.08,4.005,1248300
1888,2005-01-04,3.83,3.945,1424500
1889,2005-01-05,3.88,3.92,966700
1890,2005-01-06,3.89,3.98,1083800
1891,2005-01-07,3.69,3.79,1211100
1892,2005-01-10,3.5,3.5999999999999996,1241400
1893,2005-01-11,3.25,3.365,1807500
1894,2005-01-12,3.38,3.275,1245800
1895,2005-01-13,3.32,3.375,658300
1896,2005-01-14,3.24,3.25,850300
1897,2005-01-18,3.2,3.2249999999999996,831000
1898,2005-01-19,3.04,3.105,1229000
1899,2005-01-20,2.98,2.94,932200
1900,2005-01-21,2.79,2.9,1194600
1901,2005-01-24,2.59,2.6799999999999997,1157000
1902,2005-01-25,2.66,2.71,1011500
1903,2005-01-26,2.81,2.7750000000000004,824100
1904,2005-01-27,2.82,2.785,535500
1905,2005-01-28,2.81,2.805,674900
1906,2005-01-31,2.9,2.96,798400
1907,2005-02-01,3.06,3.035,1086800
1908,2005-02-02,3.31,3.215,1181600
1909,2005-02-03,3.08,3.2199999999999998,1003700
1910,2005-02-04,3.02,3.035,569600
1911,2005-02-07,2.92,3.0,559700
1912,2005-02-08,3.08,3.025,1399600
1913,2005-02-09,2.91,2.98,746500
1914,2005-02-10,2.8,2.9,557200
1915,2005-02-11,2.73,2.745,727500
1916,2005-02-14,2.82,2.8049999999999997,559000
1917,2005-02-15,2.82,2.8499999999999996,382800
1918,2005-02-16,2.76,2.7800000000000002,470500
1919,2005-02-17,2.7,2.76,555200
1920,2005-02-18,2.69,2.74,657300
1921,2005-02-22,2.68,2.695,432200
1922,2005-02-23,2.73,2.7,325200
1923,2005-02-24,2.59,2.635,629900
1924,2005-02-25,2.44,2.52,854200
1925,2005-02-28,2.24,2.2800000000000002,1531500
1926,2005-03-01,2.3,2.26,815800
1927,2005-03-02,2.41,2.395,844100
1928,2005-03-03,2.39,2.42,467200
1929,2005-03-04,2.15,2.165,2303100
1930,2005-03-07,2.15,2.16,1249100
1931,2005-03-08,2.18,2.15,759200
1932,2005-03-09,2.08,2.1399999999999997,1162400
1933,2005-03-10,1.98,2.015,1005900
1934,2005-03-11,2.0,2.025,753700
1935,2005-03-14,2.01,2.0700000000000003,597400
1936,2005-03-15,2.02,2.045,441600
1937,2005-03-16,1.99,2.015,374300
1938,2005-03-17,1.93,1.95,526600
1939,2005-03-18,1.88,1.935,372800
1940,2005-03-21,1.95,1.935,386100
1941,2005-03-22,1.91,1.95,401500
1942,2005-03-23,1.88,1.925,518700
1943,2005-03-24,1.84,1.855,669800
1944,2005-03-28,1.78,1.79,515400
1945,2005-03-29,1.61,1.71,562100
1946,2005-03-30,1.67,1.67,768700
1947,2005-03-31,1.67,1.725,768800
1948,2005-04-01,1.7,1.75,284100
1949,2005-04-04,1.75,1.745,427300
1950,2005-04-05,1.75,1.75,416500
1951,2005-04-06,1.75,1.7650000000000001,403800
1952,2005-04-07,1.73,1.73,236400
1953,2005-04-08,1.72,1.74,225000
1954,2005-04-11,1.64,1.685,460100
1955,2005-04-12,1.63,1.58,648700
1956,2005-04-13,1.63,1.635,521800
1957,2005-04-14,1.68,1.655,879800
1958,2005-04-15,1.6,1.635,538000
1959,2005-04-18,1.52,1.545,786000
1960,2005-04-19,1.54,1.545,453800
1961,2005-04-20,1.54,1.5350000000000001,489900
1962,2005-04-21,1.58,1.55,459600
1963,2005-04-22,1.53,1.545,383400
1964,2005-04-25,1.32,1.405,1814400
1965,2005-04-26,1.27,1.315,901800
1966,2005-04-27,1.29,1.29,366300
1967,2005-04-28,1.04,1.17,2376600
1968,2005-04-29,1.2,1.185,2344100
1969,2005-05-02,1.49,1.37,2732900
1970,2005-05-03,1.65,1.635,4197300
1971,2005-05-04,1.64,1.715,1575300
1972,2005-05-05,1.55,1.605,1344200
1973,2005-05-06,1.59,1.545,766800
1974,2005-05-09,1.59,1.585,594700
1975,2005-05-10,1.51,1.54,698800
1976,2005-05-11,1.44,1.445,1020700
1977,2005-05-12,1.41,1.42,412000
